trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.0, 'e': 0.95}",25,0,-173.92126147684115,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
2,False,"{'a': 0.0, 'e': 0.8999999999999999}",25,0,-143.3700722855074,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
3,False,"{'a': 0.0, 'e': 0.8499999999999999}",20,0,-212.03925237002338,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 4}",0
4,False,"{'a': 0.0, 'e': 0.7999999999999998}",30,0,-190.53714881448894,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 4}",0
5,False,"{'a': 0.0, 'e': 0.7499999999999998}",20,0,-106.51134721855456,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
6,False,"{'a': 0.0, 'e': 0.6999999999999997}",35,0,-247.4285251748944,"{0: 21, 1: 2, 2: 6, 3: 2, 4: 4}",0
7,False,"{'a': 0.0, 'e': 0.6499999999999997}",20,0,-80.89737810691638,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.0, 'e': 0.5999999999999996}",20,0,-80.728438913498,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.0, 'e': 0.5499999999999996}",20,13,-58.25403734389638,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 1}",1
10,False,"{'a': 0.0, 'e': 0.4999999999999996}",20,0,-215.34844914432497,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 4}",0
11,False,"{'a': 0.0, 'e': 0.4499999999999996}",20,0,-87.0700722632969,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
12,False,"{'a': 0.0, 'e': 0.39999999999999963}",30,21,-60.226120258504814,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 1}",1
13,False,"{'a': 0.0, 'e': 0.34999999999999964}",20,0,-197.25963764222143,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
14,False,"{'a': 0.0, 'e': 0.29999999999999966}",20,0,-156.87547201785483,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
15,False,"{'a': 0.0, 'e': 0.24999999999999967}",20,0,-121.1565397023537,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
16,False,"{'a': 0.0, 'e': 0.19999999999999968}",30,7,-139.71997434177027,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 3}",1
17,False,"{'a': 0.0, 'e': 0.1499999999999997}",20,0,-88.45359568087127,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.0, 'e': 0.09999999999999969}",20,7,-54.5044967598447,"{0: 7, 1: 1, 2: 4, 3: 1, 4: 0}",1
19,False,"{'a': 0.0, 'e': 0.049999999999999684}",20,0,-158.13746312861502,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
20,False,"{'a': 0.0, 'e': -3.191891195797325e-16}",30,0,-97.94678313304541,"{0: 18, 1: 7, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-131.449968164372,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,0,-151.49194046390483,"{0: 17, 1: 1, 2: 9, 3: 2, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-171.79098775477763,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-237.71144825226781,"{0: 12, 1: 0, 2: 7, 3: 3, 4: 3}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-84.46410285731788,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
