trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-208.52363147768818,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,6,-10.454199899358043,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-107.25885823388283,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-123.77789976363543,"{0: 13, 1: 6, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-124.70127222452281,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,15,-44.599854034472784,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-123.47408445467278,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-54.76874014590652,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,9,-33.00755269635372,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-15.939137751012726,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,5,-51.95568728990654,"{0: 10, 1: 1, 2: 2, 3: 2, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,10,13.883794317451443,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-64.11220640371052,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-81.46623030738547,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,2,-59.297829771822315,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,7,24.132108879428063,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,10,-33.754623922886324,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,17,-29.98363446692005,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,21.71556294826781,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,14,10.459128649150406,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,15,6.265289800778337,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,4,9.292170255197027,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,2,16.882871774821478,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,18,22.949612150757766,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,15,21.15872910455846,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,12,21.312906928628173,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,7,-28.7420109205475,"{0: 10, 1: 1, 2: 0, 3: 2, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,34.32469990444924,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,6,22.426082951902,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,0,36.42394911858579,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0.0, 'e': 0.0}",20,0,26.850897137061885,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0.0, 'e': 0.0}",30,15,26.152231764203545,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.0, 'e': 0.0}",30,24,10.574626915737364,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",35,18,12.385404790727074,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,True,"{'a': 0.0, 'e': 0.0}",30,0,-6.242206656548301,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
16,True,"{'a': 0.0, 'e': 0.0}",30,0,-6.48249664963917,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
17,True,"{'a': 0.0, 'e': 0.0}",20,7,21.035917049267834,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.0, 'e': 0.0}",30,11,22.615073449311282,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.0, 'e': 0.0}",30,21,18.057861185493792,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0.0, 'e': 0.0}",25,13,-64.54354621547456,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
