trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.0, 'e': 0.95}",30,0,-191.9501722792893,"{0: 13, 1: 8, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.0, 'e': 0.8999999999999999}",20,0,-98.35030767682933,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.0, 'e': 0.8499999999999999}",20,0,-66.23712624116568,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.0, 'e': 0.7999999999999998}",25,0,-120.39584942413421,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.0, 'e': 0.7499999999999998}",20,0,-145.35992960091315,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.0, 'e': 0.6999999999999997}",30,0,-155.94961542529467,"{0: 15, 1: 6, 2: 6, 3: 2, 4: 1}",0
7,False,"{'a': 0.0, 'e': 0.6499999999999997}",20,0,-101.72334568536738,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.0, 'e': 0.5999999999999996}",20,0,-70.24887016840276,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.0, 'e': 0.5499999999999996}",25,15,-18.784592083307928,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.0, 'e': 0.4999999999999996}",20,0,-142.37402376912084,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
11,False,"{'a': 0.0, 'e': 0.4499999999999996}",20,0,-51.08680653505352,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.0, 'e': 0.39999999999999963}",20,0,-105.95678361416473,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.0, 'e': 0.34999999999999964}",25,0,-156.4549199999211,"{0: 9, 1: 6, 2: 8, 3: 1, 4: 1}",0
14,False,"{'a': 0.0, 'e': 0.29999999999999966}",25,0,-197.773083814121,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
15,False,"{'a': 0.0, 'e': 0.24999999999999967}",35,5,-175.72658952928472,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",1
16,False,"{'a': 0.0, 'e': 0.19999999999999968}",25,0,-163.2316704389388,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
17,False,"{'a': 0.0, 'e': 0.1499999999999997}",25,0,-140.32239177218,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
18,False,"{'a': 0.0, 'e': 0.09999999999999969}",20,0,-88.5920384334743,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 2}",0
19,False,"{'a': 0.0, 'e': 0.049999999999999684}",25,0,-99.31021978997249,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.0, 'e': -3.191891195797325e-16}",30,0,-192.82818266466006,"{0: 13, 1: 6, 2: 8, 3: 1, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-159.4603217283708,"{0: 7, 1: 4, 2: 7, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-147.57234754544888,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-146.9759881053744,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
